"Protein","Count_ABP","Count_Comp","Count_NP","Mean_ABP","Mean_Comp","Mean_NP","Fold_change_ABP_vs_Comp","Fold_change_ABP_vs_NP","Fold_change_Comp_vs_NP","P_value_A_ABP_vs_Comp","P_value_A_ABP_vs_NP","P_value_A_Comp_vs_NP","Flag_A_ABP_vs_Comp","Flag_A_ABP_vs_NP","Flag_A_Comp_vs_NP"
"sp|Q561R3|RBM48_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZMX0|D3ZMX0_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|D3ZA12|CHD6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q7TNI4|I22R2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2KBC6|A0A0G2KBC6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|D4ABB8|ATP9B_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q9JIX5|CHD8_RAT",2,3,3,0.790967425469284,0.701135408760599,1.12715363077002,0.0898320167086849,-0.336186205300732,-0.426018222009417,0.831546232246883,0.43988926431958,0.288100499786268,0,0,0
"sp|Q5XHZ2|SYCE1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q99PD4|ARC1A_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2K1Y7|A0A0G2K1Y7_RAT",3,3,3,0.631291029964341,1.83950201948782,-0.4085301500149,-1.20821098952347,1.03982117997924,2.24803216950272,0.0575203475973008,0.0902245470924707,0.00476270859592838,0,0,1
"sp|Q5XI01|LARP7_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q6R518|GPN3_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
