"Protein","Count_ABP","Count_Comp","Count_NP","Mean_ABP","Mean_Comp","Mean_NP","Fold_change_ABP_vs_Comp","Fold_change_ABP_vs_NP","Fold_change_Comp_vs_NP","P_value_A_ABP_vs_Comp","P_value_A_ABP_vs_NP","P_value_A_Comp_vs_NP","Flag_A_ABP_vs_Comp","Flag_A_ABP_vs_NP","Flag_A_Comp_vs_NP"
"tr|B4F7B3|B4F7B3_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|Q6IMA9|Q6IMA9_RAT",3,3,1,1.59101880131666,1.26389081962967,-0.976961517822008,0.327127981686985,2.56798031913867,2.24085233745168,0.485052164148798,0.0129934853236772,0.020431894663821,0,1,1
"tr|D3ZQE7|D3ZQE7_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P10719|ATPB_RAT",3,3,3,3.64539429328992,3.00025393412935,-0.678735921392015,0.645140359160561,4.32413021468193,3.67898985552137,0.2677757682783,0.000179065322801897,0.00043526383897955,0,1,1
"sp|Q68FX0|IDH3B_RAT",3,3,2,2.07336633342552,1.64106698413751,-1.29767938738318,0.432299349288006,3.37104572080869,2.93874637152069,0.0255204076012899,3.65519354269413e-06,7.20947942619056e-06,1,1,1
"sp|D4ABB8|ATP9B_RAT",3,3,2,2.4623681209644,0.494211220586962,1.26229502824328,1.96815690037744,1.20007309272112,-0.768083807656318,0.00631076847324908,0.057056384019536,0.175837067052843,1,0,0
"sp|Q9JIX5|CHD8_RAT",3,3,3,0.037714867156062,-0.594922006939882,0.337067237469254,0.632636874095944,-0.299352370313192,-0.931989244409135,0.116069987403917,0.41844276800227,0.0353731351161701,0,0,-1
"sp|A4L9P5|HIPK1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q6AXQ7|IQCAL_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q66HA4|TAXB1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
